Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros accesos,Total accesos,Mbps (Media de bajada),Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras velocidades,Total velocidades
2019,1,Buenos Aires,1304507.0,2020730.0,336362.0,64.867,20.201,3746667.0,19.64,66.24,162.513,72.296,1429964.0,202.511,576.428,576.859,705769.0,6.369,3732709.0
2019,1,Capital Federal,328246.0,1030814.0,32281.0,3.978,4.281,1399600.0,24.72,109.2,74.0,7.417,283787.0,131.007,330.122,365.713,283463.0,0.0,1401583.0
2019,1,Catamarca,26912.0,4443.0,16.0,0.0,2.251,33622.0,7.96,32.19,34.0,1.708,18761.0,6.443,5.606,29.0,7.0,2.151,34739.0
2019,1,Chaco,53409.0,43555.0,1951.0,3.628,1.134,103677.0,13.44,32.64,69.0,3.801,38719.0,25.632,18.965,12.393,6368.0,1.035,106982.0
2019,1,Chubut,37302.0,23065.0,1923.0,14.443,3.045,79778.0,5.89,43.0,66.0,3.938,71077.0,6.571,787.0,74.0,165.0,0.0,82678.0
2019,1,Corrientes,55842.0,43444.0,1615.0,1.528,58.0,102487.0,12.05,35.13,10.0,6.47,38402.0,26.562,15.498,9.688,5029.0,0.0,101659.0
2019,1,Córdoba,323272.0,363959.0,19902.0,24.615,12.367,744115.0,15.73,65.52,81.0,20.403,242769.0,96.997,200.681,127.965,50716.0,6.806,746418.0
2019,1,Entre Ríos,100999.0,90253.0,12723.0,16.231,12.241,232447.0,10.66,56.79,18.0,9.217,107013.0,50.068,28.957,18.146,7619.0,12.142,233180.0
2019,1,Formosa,22570.0,7878.0,940.0,13.761,62.0,45211.0,9.83,29.68,1.11,3.023,23085.0,5.301,9.027,2.099,1654.0,0.0,45299.0
2019,1,Jujuy,33248.0,12484.0,153.0,640.0,43.622,90147.0,8.56,46.41,27.0,2.817,30727.0,7.811,4.021,30.0,1141.0,37.162,83736.0
2019,1,La Pampa,18832.0,57373.0,2891.0,9.023,1.041,89160.0,5.06,76.35,236.0,8.327,70538.0,4.466,1.061,1.354,405.0,698.0,87085.0
2019,1,La Rioja,16367.0,34984.0,12.0,252.0,41.0,51656.0,7.09,50.18,9.0,1.169,40285.0,4.088,5.216,17.0,869.0,0.0,51653.0
2019,1,Mendoza,148524.0,40205.0,5662.0,10.363,1.544,206298.0,5.74,37.66,20.0,1.786,205383.0,2.837,5.702,111.0,140.0,0.0,215979.0
2019,1,Misiones,54898.0,59214.0,465.0,426.0,7.717,122720.0,12.51,36.26,47.0,5.946,45266.0,25.89,19.111,16.552,5167.0,7.654,125633.0
2019,1,Neuquén,40747.0,55634.0,3114.0,12.51,2.372,114377.0,15.88,58.88,1.328,3.055,52360.0,1.781,21.452,17.135,11026.0,6.105,114242.0
2019,1,Río Negro,68377.0,34124.0,3994.0,9.736,4.857,121088.0,10.49,53.57,384.0,1.583,84845.0,2.037,13.615,9.567,5076.0,3.719,120826.0
2019,1,Salta,74426.0,57933.0,647.0,1.135,1.879,136020.0,10.38,40.1,49.0,4.232,59244.0,36.473,22.91,10.861,2242.0,1.0,136012.0
2019,1,San Juan,51660.0,5838.0,808.0,2.932,1.207,62445.0,5.84,31.83,22.0,229.0,62380.0,266.0,520.0,3.0,2.0,560.0,63982.0
2019,1,San Luis,11108.0,7784.0,378.0,53.097,23.968,96335.0,8.71,67.34,57.0,120.0,21380.0,53.214,345.0,6.0,2.0,23.577,98701.0
2019,1,Santa Cruz,10659.0,4615.0,382.0,6.514,2.735,24905.0,5.78,23.67,25.0,128.0,21990.0,2.731,702.0,26.0,4.0,0.0,25606.0
2019,1,Santa Fe,340038.0,340344.0,15621.0,23.215,17.86,737078.0,12.99,66.97,333.0,29.35,296798.0,122.959,153.212,74.575,36502.0,18.591,732320.0
2019,1,Santiago Del Estero,25337.0,61547.0,23.0,2.847,99.0,89853.0,6.42,37.52,39.0,3.372,62895.0,20.691,3.959,85.0,494.0,0.0,91535.0
2019,1,Tierra Del Fuego,19789.0,23549.0,1623.0,0.0,1.486,46447.0,6.34,93.38,6.0,131.0,38851.0,3.623,641.0,80.0,29.0,0.0,43361.0
2019,1,Tucumán,159215.0,11670.0,118.0,678.0,321.0,172002.0,16.57,41.63,16.0,5.188,82240.0,42.877,26.21,847.0,14839.0,0.0,172217.0
2019,2,Buenos Aires,1284658.0,2079900.0,382971.0,75.24,32.929,3855698.0,22.48,67.85,199.768,46.852,1436259.0,217.785,438.663,502.275,985767.0,43.438,3870807.0
2019,2,Capital Federal,309937.0,1061358.0,36082.0,3.962,4.281,1415620.0,30.35,110.55,74.0,1.027,281370.0,124.087,239.691,296.155,475991.0,,1418395.0
2019,2,Catamarca,25682.0,5543.0,13.0,146.0,2.251,33635.0,8.81,32.13,34.0,43.0,16631.0,8.67,6.049,34.0,10.0,2.151,33622.0
2019,2,Chaco,50765.0,47448.0,4203.0,4.727,1.591,108734.0,16.01,34.14,69.0,1.383,38488.0,26.431,16.789,15.348,9904.0,1.492,109904.0
2019,2,Chubut,37313.0,26338.0,1917.0,14.443,7.545,87556.0,6.05,46.99,66.0,3.952,69032.0,10.049,1.495,74.0,165.0,4.5,89333.0
2019,2,Corrientes,53835.0,47431.0,1701.0,2.444,6.138,111549.0,13.83,38.16,10.0,3.012,40424.0,27.774,13.114,11.928,7119.0,6.08,109461.0
2019,2,Córdoba,314768.0,388254.0,23023.0,33.847,15.236,775128.0,18.43,68.07,81.0,8.165,248427.0,100.512,157.458,170.159,76053.0,8.938,769793.0
2019,2,Entre Ríos,97081.0,91081.0,12764.0,17.369,17.529,235824.0,12.19,57.48,18.0,5.905,100687.0,52.316,23.196,24.221,10664.0,17.206,234213.0
2019,2,Formosa,21916.0,8686.0,1382.0,14.292,162.0,46438.0,10.84,30.42,1.11,349.0,26512.0,5.399,8.384,2.639,2258.0,100.0,46751.0
2019,2,Jujuy,33022.0,30742.0,274.0,812.0,21.857,86707.0,12.07,44.51,27.0,940.0,26233.0,8.441,26.7,27.0,2600.0,21.765,86733.0
2019,2,La Pampa,19471.0,52101.0,4840.0,10.789,3.004,90205.0,5.49,77.08,236.0,3.289,75406.0,5.191,1.366,1.445,629.0,2.661,90223.0
2019,2,La Rioja,15014.0,34984.0,11.0,251.0,41.0,50301.0,7.89,48.7,9.0,11.0,39819.0,4.297,4.857,13.0,1298.0,,50304.0
2019,2,Mendoza,148673.0,54027.0,6865.0,12.748,1.544,223857.0,6.03,40.75,20.0,2.522,205165.0,2.971,10.092,1.256,234.0,,222260.0
2019,2,Misiones,55373.0,64272.0,543.0,421.0,12.269,132878.0,14.5,39.15,47.0,2.226,45769.0,27.385,15.408,18.882,8129.0,12.206,130052.0
2019,2,Neuquén,43420.0,59021.0,4983.0,12.792,2.737,122953.0,17.24,63.08,302.0,3.038,61776.0,4.688,17.318,21.21,14132.0,422.0,122886.0
2019,2,Río Negro,67841.0,36527.0,4037.0,10.485,19.657,138547.0,11.63,61.09,384.0,1.354,86366.0,2.201,10.291,12.407,6907.0,18.519,138429.0
2019,2,Salta,68827.0,62343.0,725.0,1.21,9.463,142568.0,12.55,41.89,49.0,974.0,59638.0,36.923,16.961,14.059,6461.0,7.585,142650.0
2019,2,San Juan,51680.0,7425.0,1174.0,2.87,6.876,70025.0,6.12,35.6,22.0,213.0,60913.0,2.177,785.0,7.0,4.0,6.119,70240.0
2019,2,San Luis,11130.0,10298.0,347.0,57.242,38.368,117385.0,19.88,81.79,57.0,102.0,16575.0,4.964,467.0,57.236,5.0,37.977,117383.0
2019,2,Santa Cruz,10665.0,10257.0,379.0,6.514,2.735,30550.0,6.01,28.85,25.0,84.0,24861.0,3.806,1.202,28.0,4.0,,30010.0
2019,2,Santa Fe,325420.0,355140.0,18236.0,21.98,22.708,743484.0,15.07,67.42,321.0,8.427,300124.0,125.176,129.741,100.131,49865.0,22.323,736108.0
2019,2,Santiago Del Estero,24393.0,64783.0,219.0,2.759,34.6,126754.0,7.1,52.79,39.0,1.832,63268.0,21.362,3.741,108.0,1205.0,34.501,126056.0
2019,2,Tierra Del Fuego,19790.0,25527.0,651.0,0.0,1.486,47454.0,6.34,94.8,6.0,123.0,41824.0,4.241,1.573,96.0,32.0,,47895.0
